wagnum,month
33361,2023-02-28
33364,2023-02-28
33366,2023-02-28
33358,2023-02-28
33349,2023-02-28
33354,2023-02-28
33355,2023-02-28
33356,2023-02-28
33370,2023-02-28
33373,2023-02-28
33375,2023-02-28
29889,2023-02-28
29890,2023-02-28
29894,2023-02-28
29895,2023-02-28
29896,2023-02-28
29898,2023-02-28
29904,2023-02-28
29906,2023-02-28
29907,2023-02-28
29914,2023-02-28
29916,2023-02-28
29923,2023-02-28
29928,2023-02-28
29930,2023-02-28
29933,2023-02-28
29935,2023-02-28
29938,2023-02-28
29942,2023-02-28
29944,2023-02-28
29948,2023-02-28
29950,2023-02-28
29952,2023-02-28
29822,2023-02-28
29823,2023-02-28
29824,2023-02-28
29826,2023-02-28
29830,2023-02-28
29831,2023-02-28
29840,2023-02-28
29844,2023-02-28
29845,2023-02-28
29850,2023-02-28
29852,2023-02-28
29854,2023-02-28
29856,2023-02-28
29857,2023-02-28
29859,2023-02-28
29860,2023-02-28
29863,2023-02-28
29865,2023-02-28
29867,2023-02-28
29868,2023-02-28
29874,2023-02-28
29876,2023-02-28
29886,2023-02-28
29887,2023-02-28
29811,2023-02-28
29813,2023-02-28
29814,2023-02-28
29815,2023-02-28
29800,2023-02-28
29802,2023-02-28
29804,2023-02-28
29809,2023-02-28
33339,2023-02-28
33342,2023-02-28
33337,2023-02-28
5624,2023-02-28
5768,2023-02-28
6163,2023-02-28
6169,2023-02-28
2052,2023-02-28
6039,2023-02-28
6642,2023-02-28
7462,2023-02-28
8040,2023-02-28
8148,2023-02-28
9083,2023-02-28
9739,2023-02-28
16629,2023-02-28
16803,2023-02-28
19634,2023-02-28
32759,2023-02-28
6356,2023-02-28
2035,2023-02-28
6576,2023-02-28
7030,2023-02-28
7715,2023-02-28
5368,2023-02-28
6077,2023-02-28
6639,2023-02-28
6752,2023-02-28
8557,2023-02-28
9058,2023-02-28
9692,2023-02-28
18338,2023-02-28
20738,2023-02-28
21199,2023-02-28
21330,2023-02-28
21336,2023-02-28
21764,2023-02-28
27588,2023-02-28
28477,2023-02-28
28775,2023-02-28
29150,2023-02-28
33176,2023-02-28
33178,2023-02-28
33324,2023-02-28
33347,2023-02-28
8095,2023-02-28
10524,2023-02-28
10938,2023-02-28
13674,2023-02-28
16228,2023-02-28
21244,2023-02-28
24266,2023-02-28
24769,2023-02-28
27400,2023-02-28
28352,2023-02-28
28385,2023-02-28
28856,2023-02-28
31796,2023-02-28
673,2023-02-28
1011,2023-02-28
1155,2023-02-28
1652,2023-02-28
1729,2023-02-28
1798,2023-02-28
1809,2023-02-28
1956,2023-02-28
2360,2023-02-28
2419,2023-02-28
2178,2023-02-28
2185,2023-02-28
2189,2023-02-28
2192,2023-02-28
2199,2023-02-28
2203,2023-02-28
2205,2023-02-28
2207,2023-02-28
2208,2023-02-28
2213,2023-02-28
2214,2023-02-28
2221,2023-02-28
2226,2023-02-28
2229,2023-02-28
2231,2023-02-28
2232,2023-02-28
2236,2023-02-28
2239,2023-02-28
2243,2023-02-28
2249,2023-02-28
2250,2023-02-28
1127,2023-02-28
1139,2023-02-28
1145,2023-02-28
1147,2023-02-28
1150,2023-02-28
1157,2023-02-28
1159,2023-02-28
1160,2023-02-28
1165,2023-02-28
1169,2023-02-28
1170,2023-02-28
1173,2023-02-28
1174,2023-02-28
1177,2023-02-28
1419,2023-02-28
1424,2023-02-28
1429,2023-02-28
1446,2023-02-28
1449,2023-02-28
1455,2023-02-28
33919,2023-02-28
2263,2023-02-28
2265,2023-02-28
2269,2023-02-28
2270,2023-02-28
2272,2023-02-28
2273,2023-02-28
2279,2023-02-28
2285,2023-02-28
2288,2023-02-28
2289,2023-02-28
2291,2023-02-28
2294,2023-02-28
2298,2023-02-28
2299,2023-02-28
2304,2023-02-28
2307,2023-02-28
2313,2023-02-28
2321,2023-02-28
2324,2023-02-28
2328,2023-02-28
2331,2023-02-28
2333,2023-02-28
1456,2023-02-28
1460,2023-02-28
